,cycle,population_active__t1,population_passive__t1,population_total__t1,food_crates__t1,organism_positions__t1,population_active__t2,population_passive__t2,population_total__t2,food_crates__t2,organism_positions__t2,population_active__t3,population_passive__t3,population_total__t3,food_crates__t3,organism_positions__t3
31,31,1,1,2,"[[5, 47, 82.0], [11, 34, 62.0], [4, 50, 40.0], [7, 18, 30.0], [31, 15, 8.0]]","[[11, 34, 'active'], [15, 34, 'passive']]",1,1,2,"[[1, 14, 74.0], [11, 27, 82.0], [33, 35, 46.0], [0, 17, 22.0], [20, 27, 10.0]]","[[1, 14, 'passive'], [2, 14, 'active']]",1,1,2,"[[22, 10, 2.0], [0, 28, 82.0], [41, 27, 32.0], [16, 37, 30.0], [34, 34, 2.0]]","[[22, 10, 'passive'], [0, 36, 'active']]"
32,32,1,1,2,"[[5, 47, 84.0], [11, 34, 54.0], [4, 50, 42.0], [7, 18, 32.0], [31, 15, 10.0]]","[[11, 34, 'active'], [15, 34, 'passive']]",1,1,2,"[[1, 14, 68.0], [11, 27, 84.0], [33, 35, 48.0], [0, 17, 24.0], [20, 27, 12.0]]","[[2, 14, 'active'], [1, 14, 'passive']]",1,1,2,"[[0, 28, 84.0], [41, 27, 34.0], [16, 37, 32.0], [34, 34, 4.0], [37, 31, 2.0]]","[[0, 34, 'active'], [22, 10, 'passive']]"
33,33,1,1,2,"[[5, 47, 86.0], [11, 34, 46.0], [4, 50, 44.0], [7, 18, 34.0], [31, 15, 12.0]]","[[15, 34, 'passive'], [11, 34, 'active']]",1,1,2,"[[1, 14, 62.0], [11, 27, 86.0], [33, 35, 50.0], [0, 17, 26.0], [20, 27, 14.0]]","[[1, 14, 'passive'], [2, 14, 'active']]",1,1,2,"[[0, 28, 86.0], [41, 27, 36.0], [16, 37, 34.0], [34, 34, 6.0], [37, 31, 4.0]]","[[0, 32, 'active'], [40, 13, 'passive']]"
34,34,1,1,2,"[[5, 47, 88.0], [11, 34, 38.0], [4, 50, 46.0], [7, 18, 36.0], [31, 15, 14.0]]","[[11, 34, 'passive'], [11, 34, 'active']]",1,1,2,"[[1, 14, 56.0], [11, 27, 88.0], [33, 35, 52.0], [0, 17, 28.0], [20, 27, 16.0]]","[[2, 14, 'active'], [1, 14, 'passive']]",1,1,2,"[[0, 28, 88.0], [41, 27, 38.0], [16, 37, 36.0], [34, 34, 8.0], [37, 31, 6.0]]","[[40, 16, 'passive'], [0, 29, 'active']]"
35,35,1,1,2,"[[5, 47, 90.0], [11, 34, 22.0], [4, 50, 48.0], [7, 18, 38.0], [31, 15, 16.0]]","[[11, 34, 'active'], [11, 34, 'passive']]",1,1,2,"[[1, 14, 50.0], [11, 27, 90.0], [33, 35, 54.0], [0, 17, 30.0], [20, 27, 18.0]]","[[1, 14, 'passive'], [1, 14, 'active']]",1,1,2,"[[0, 28, 90.0], [41, 27, 40.0], [16, 37, 38.0], [34, 34, 10.0], [37, 31, 8.0]]","[[41, 17, 'passive'], [0, 28, 'active']]"
36,36,1,1,2,"[[5, 47, 92.0], [11, 34, 6.0], [4, 50, 50.0], [7, 18, 40.0], [31, 15, 18.0]]","[[11, 34, 'active'], [11, 34, 'passive']]",1,1,2,"[[1, 14, 34.0], [11, 27, 92.0], [33, 35, 56.0], [0, 17, 32.0], [20, 27, 20.0]]","[[1, 14, 'active'], [1, 14, 'passive']]",1,1,2,"[[0, 28, 82.0], [41, 27, 42.0], [16, 37, 40.0], [34, 34, 12.0], [37, 31, 10.0]]","[[41, 21, 'passive'], [0, 28, 'active']]"
37,37,1,1,2,"[[5, 47, 94.0], [4, 50, 52.0], [7, 18, 42.0], [31, 15, 20.0], [12, 20, 2.0]]","[[11, 34, 'passive'], [11, 34, 'active']]",1,1,2,"[[1, 14, 18.0], [11, 27, 94.0], [33, 35, 58.0], [0, 17, 34.0], [20, 27, 22.0]]","[[1, 14, 'passive'], [1, 14, 'active']]",1,1,2,"[[0, 28, 74.0], [41, 27, 44.0], [16, 37, 42.0], [34, 34, 14.0], [37, 31, 12.0]]","[[0, 28, 'active'], [41, 25, 'passive']]"
38,38,1,1,2,"[[5, 47, 96.0], [4, 50, 54.0], [7, 18, 44.0], [31, 15, 22.0], [12, 20, 4.0]]","[[11, 24, 'passive'], [11, 22, 'active']]",1,1,2,"[[1, 14, 2.0], [11, 27, 96.0], [33, 35, 60.0], [0, 17, 36.0], [20, 27, 24.0]]","[[1, 14, 'active'], [1, 14, 'passive']]",1,1,2,"[[0, 28, 66.0], [41, 27, 46.0], [16, 37, 44.0], [34, 34, 16.0], [37, 31, 14.0]]","[[41, 25, 'passive'], [0, 28, 'active']]"
39,39,1,1,2,"[[5, 47, 98.0], [4, 50, 56.0], [7, 18, 46.0], [31, 15, 24.0], [12, 20, 6.0]]","[[11, 20, 'active'], [11, 21, 'passive']]",1,1,2,"[[11, 27, 98.0], [33, 35, 62.0], [0, 17, 38.0], [20, 27, 26.0], [37, 45, 2.0]]","[[1, 14, 'passive'], [0, 14, 'active']]",1,1,2,"[[0, 28, 58.0], [41, 27, 48.0], [16, 37, 46.0], [34, 34, 18.0], [37, 31, 16.0]]","[[41, 25, 'passive'], [0, 28, 'active']]"
40,40,1,1,2,"[[5, 47, 100.0], [4, 50, 58.0], [7, 18, 48.0], [31, 15, 26.0], [12, 20, 8.0]]","[[11, 20, 'active'], [12, 20, 'passive']]",1,1,2,"[[11, 27, 100.0], [33, 35, 64.0], [0, 17, 40.0], [20, 27, 28.0], [37, 45, 4.0]]","[[1, 17, 'passive'], [0, 15, 'active']]",1,1,2,"[[0, 28, 50.0], [41, 27, 50.0], [16, 37, 48.0], [34, 34, 20.0], [37, 31, 18.0]]","[[41, 27, 'passive'], [0, 28, 'active']]"
