,cycle,population_active__t1,population_passive__t1,population_total__t1,population_active__t2,population_passive__t2,population_total__t2,population_active__t3,population_passive__t3,population_total__t3
251,251,128,128,256,128,128,256,128,128,256
252,252,128,128,256,128,128,256,128,128,256
253,253,128,128,256,128,128,256,128,128,256
254,254,128,128,256,128,128,256,128,128,256
255,255,128,128,256,128,128,256,128,128,256
256,256,128,128,256,128,128,256,128,128,256
257,257,128,128,256,128,128,256,128,128,256
258,258,128,128,256,128,128,256,128,128,256
259,259,128,128,256,128,128,256,128,128,256
260,260,128,128,256,128,128,256,128,128,256
261,261,128,128,256,128,128,256,128,128,256
262,262,128,128,256,128,128,256,128,128,256
263,263,128,128,256,128,128,256,128,128,256
264,264,128,128,256,128,128,256,128,128,256
265,265,128,128,256,128,128,256,128,128,256
266,266,128,128,256,128,128,256,128,128,256
267,267,128,128,256,128,128,256,128,128,256
268,268,128,128,256,128,128,256,128,128,256
269,269,256,256,512,256,256,512,256,256,512
270,270,256,256,512,256,256,512,256,256,512
271,271,256,256,512,256,256,512,256,256,512
272,272,256,256,512,256,256,512,256,256,512
273,273,256,256,512,256,256,512,256,256,512
274,274,256,256,512,256,256,512,256,256,512
275,275,256,256,512,256,256,512,256,256,512
276,276,256,256,512,256,256,512,256,256,512
277,277,256,256,512,256,256,512,256,256,512
278,278,256,256,512,256,256,512,256,256,512
279,279,256,256,512,256,256,512,256,256,512
280,280,256,256,512,256,256,512,256,256,512
281,281,256,256,512,256,256,512,256,256,512
282,282,256,256,512,256,256,512,256,256,512
283,283,256,256,512,256,256,512,256,256,512
284,284,256,256,512,256,256,512,256,256,512
285,285,256,256,512,256,256,512,256,256,512
286,286,256,256,512,256,256,512,256,256,512
287,287,256,256,512,256,256,512,256,256,512
288,288,256,256,512,256,256,512,256,256,512
289,289,256,256,512,256,256,512,256,256,512
290,290,256,256,512,256,256,512,256,256,512
291,291,256,256,512,256,256,512,256,256,512
292,292,256,256,512,256,256,512,256,256,512
293,293,256,256,512,256,256,512,256,256,512
294,294,256,256,512,256,256,512,256,256,512
295,295,256,256,512,256,256,512,256,256,512
296,296,256,256,512,256,256,512,256,256,512
297,297,256,256,512,256,256,512,256,256,512
298,298,256,256,512,256,256,512,256,256,512
299,299,256,256,512,256,256,512,256,256,512
300,300,256,256,512,256,256,512,256,256,512
301,301,256,256,512,256,256,512,256,256,512
302,302,512,512,1024,512,512,1024,512,512,1024
303,303,512,512,1024,512,512,1024,512,512,1024
304,304,512,512,1024,512,512,1024,512,512,1024
305,305,512,512,1024,512,512,1024,512,512,1024
306,306,512,512,1024,512,512,1024,512,512,1024
307,307,512,512,1024,512,512,1024,512,512,1024
308,308,512,512,1024,512,512,1024,512,512,1024
309,309,512,512,1024,512,512,1024,512,512,1024
310,310,512,512,1024,512,512,1024,512,512,1024
311,311,512,512,1024,512,512,1024,512,512,1024
312,312,512,512,1024,512,512,1024,512,512,1024
313,313,512,512,1024,512,512,1024,512,512,1024
314,314,512,512,1024,512,512,1024,512,512,1024
315,315,512,512,1024,512,512,1024,512,512,1024
316,316,512,512,1024,512,512,1024,512,512,1024
317,317,512,512,1024,512,512,1024,512,512,1024
318,318,512,512,1024,512,512,1024,512,512,1024
319,319,512,512,1024,512,512,1024,512,512,1024
320,320,512,512,1024,512,512,1024,512,512,1024
321,321,512,512,1024,512,512,1024,512,512,1024
322,322,512,512,1024,512,512,1024,512,512,1024
323,323,512,512,1024,512,512,1024,512,512,1024
324,324,512,512,1024,512,512,1024,512,512,1024
325,325,512,512,1024,512,512,1024,512,512,1024
326,326,512,512,1024,512,512,1024,512,512,1024
327,327,512,512,1024,512,512,1024,512,512,1024
328,328,512,512,1024,512,512,1024,512,512,1024
329,329,512,512,1024,512,512,1024,512,512,1024
330,330,512,512,1024,512,512,1024,512,512,1024
331,331,512,512,1024,512,512,1024,512,512,1024
332,332,512,512,1024,512,512,1024,512,512,1024
333,333,512,512,1024,512,512,1024,512,512,1024
334,334,512,512,1024,512,512,1024,512,512,1024
335,335,512,512,1024,512,512,1024,512,512,1024
336,336,1024,1024,2048,1024,1024,2048,1024,1024,2048
337,337,1024,1024,2048,1024,1024,2048,1024,1024,2048
338,338,1024,1024,2048,1024,1024,2048,1024,1024,2048
339,339,1024,1024,2048,1024,1024,2048,1024,1024,2048
340,340,1024,1024,2048,1024,1024,2048,1024,1024,2048
341,341,1024,1024,2048,1024,1024,2048,1024,1024,2048
342,342,1024,1024,2048,1024,1024,2048,1024,1024,2048
343,343,1024,1024,2048,1024,1024,2048,1024,1024,2048
344,344,1024,1024,2048,1024,1024,2048,1024,1024,2048
345,345,1024,1024,2048,1024,1024,2048,1024,1024,2048
346,346,1024,1024,2048,1024,1024,2048,1024,1024,2048
347,347,1024,1024,2048,1024,1024,2048,1024,1024,2048
348,348,1024,1024,2048,1024,1024,2048,1024,1024,2048
349,349,1024,1024,2048,1024,1024,2048,1024,1024,2048
350,350,1024,1024,2048,1024,1024,2048,1024,1024,2048
351,351,1024,1024,2048,1024,1024,2048,1024,1024,2048
352,352,1024,1024,2048,1024,1024,2048,1024,1024,2048
353,353,1024,1024,2048,1024,1024,2048,1024,1024,2048
354,354,1024,1024,2048,1024,1024,2048,1024,1024,2048
355,355,1024,1024,2048,1024,1024,2048,1024,1024,2048
356,356,1024,1024,2048,1024,1024,2048,1024,1024,2048
357,357,1024,1024,2048,1024,1024,2048,1024,1024,2048
358,358,1024,1024,2048,1024,1024,2048,1024,1024,2048
359,359,1024,1024,2048,1024,1024,2048,1024,1024,2048
360,360,1024,1024,2048,1024,1024,2048,1024,1024,2048
361,361,1024,1024,2048,1024,1024,2048,1024,1024,2048
362,362,1024,1024,2048,1024,1024,2048,1024,1024,2048
363,363,1024,1024,2048,1024,1024,2048,1024,1024,2048
364,364,1024,1024,2048,1024,1024,2048,1024,1024,2048
365,365,1024,1024,2048,1024,1024,2048,1024,1024,2048
366,366,1024,1024,2048,1024,1024,2048,1024,1024,2048
367,367,1024,1024,2048,1024,1024,2048,1024,1024,2048
368,368,1024,1024,2048,1024,1024,2048,1024,1024,2048
369,369,1024,1024,2048,1024,1024,2048,1024,1024,2048
370,370,1024,1024,2048,1024,1024,2048,1024,1024,2048
371,371,1024,1024,2048,1024,1024,2048,1024,1024,2048
372,372,1024,1024,2048,1024,1024,2048,1024,1024,2048
373,373,1024,1024,2048,1024,1024,2048,1024,1024,2048
374,374,1024,1024,2048,1024,1024,2048,1024,1024,2048
375,375,1024,1024,2048,1024,1024,2048,1024,1024,2048
376,376,1024,1024,2048,1024,1024,2048,1024,1024,2048
377,377,1024,1024,2048,1024,1024,2048,1024,1024,2048
378,378,1024,1024,2048,1024,1024,2048,1024,1024,2048
379,379,1024,1024,2048,1024,1024,2048,1024,1024,2048
380,380,1024,1024,2048,1024,1024,2048,1024,1024,2048
381,381,1024,1024,2048,1024,1024,2048,1024,1024,2048
382,382,1024,1024,2048,1024,1024,2048,1024,1024,2048
383,383,1024,1024,2048,1024,1024,2048,1024,1024,2048
384,384,1024,1024,2048,1024,1024,2048,1024,1024,2048
385,385,1024,1024,2048,1024,1024,2048,1024,1024,2048
386,386,1024,1024,2048,1024,1024,2048,1024,1024,2048
387,387,1024,1024,2048,1024,1024,2048,1024,1024,2048
388,388,1024,1024,2048,1024,1024,2048,1024,1024,2048
389,389,1024,1024,2048,1024,1024,2048,1024,1024,2048
390,390,1024,1024,2048,1024,1024,2048,1024,1024,2048
391,391,1024,1024,2048,1024,1024,2048,1024,1024,2048
392,392,1024,1024,2048,1024,1024,2048,1024,1024,2048
393,393,1024,1024,2048,1024,1024,2048,1024,1024,2048
394,394,1024,1024,2048,1024,1024,2048,1024,1024,2048
395,395,1023,1024,2047,1022,1024,2046,1023,1024,2047
396,396,1023,1024,2047,1022,1024,2046,1023,1024,2047
397,397,1018,1024,2042,1018,1024,2042,1017,1024,2041
398,398,1018,1024,2042,1018,1024,2042,1017,1024,2041
399,399,1018,1024,2042,1018,1024,2042,1017,1024,2041
400,400,999,1024,2023,1001,1024,2025,1000,1024,2024
401,401,999,1024,2023,1001,1024,2025,1000,1024,2024
402,402,959,1024,1983,959,1024,1983,966,1024,1990
403,403,959,1024,1983,959,1024,1983,966,1024,1990
404,404,958,1024,1982,958,1024,1982,965,1024,1989
405,405,892,1024,1916,900,1024,1924,893,1024,1917
406,406,891,1024,1915,900,1024,1924,892,1024,1916
407,407,811,1024,1835,824,1024,1848,801,1024,1825
408,408,810,1024,1834,824,1024,1848,801,1024,1825
409,409,809,1024,1833,824,1024,1848,800,1024,1824
410,410,716,1024,1740,740,1024,1764,711,1024,1735
411,411,714,1024,1738,738,1024,1762,708,1024,1732
412,412,604,1024,1628,628,1024,1652,601,1024,1625
413,413,602,1024,1626,627,1024,1651,598,1024,1622
414,414,598,1024,1622,627,1024,1651,596,1024,1620
415,415,519,1024,1543,520,1024,1544,503,1024,1527
416,416,518,1024,1542,517,1024,1541,502,1024,1526
417,417,418,1024,1442,413,1024,1437,403,1024,1427
418,418,416,1024,1440,413,1024,1437,402,1024,1426
419,419,414,1024,1438,410,1024,1434,402,1024,1426
420,420,347,1024,1371,349,1024,1373,328,1024,1352
421,421,347,1024,1371,349,1024,1373,326,1024,1350
422,422,278,1024,1302,275,1024,1299,259,1024,1283
423,423,278,1024,1302,274,1024,1298,258,1024,1282
424,424,275,1024,1299,273,1024,1297,258,1024,1282
425,425,218,1024,1242,223,1024,1247,224,1024,1248
426,426,218,1024,1242,222,1024,1246,223,1024,1247
427,427,172,1024,1196,172,1024,1196,184,1024,1208
428,428,172,1024,1196,172,1024,1196,182,1024,1206
429,429,171,1024,1195,172,1024,1196,181,1024,1205
430,430,146,1024,1170,134,1024,1158,149,1024,1173
431,431,145,1024,1169,133,1024,1157,148,1024,1172
432,432,123,1024,1147,109,1024,1133,112,1024,1136
433,433,123,1024,1147,108,1024,1132,112,1024,1136
434,434,120,1024,1144,108,1024,1132,110,1024,1134
435,435,100,1024,1124,95,1024,1119,95,1024,1119
436,436,99,1024,1123,94,1024,1118,94,1024,1118
437,437,82,1024,1106,71,1024,1095,78,1024,1102
438,438,82,1024,1106,70,1024,1094,78,1024,1102
439,439,82,1024,1106,70,1024,1094,77,1024,1101
440,440,68,1024,1092,58,1024,1082,68,1024,1092
441,441,67,1024,1091,58,1024,1082,67,1024,1091
442,442,57,1024,1081,46,1024,1070,52,1024,1076
443,443,57,1024,1081,46,1024,1070,52,1024,1076
444,444,56,1024,1080,46,1024,1070,51,1024,1075
445,445,43,1024,1067,37,1024,1061,45,1024,1069
446,446,43,1024,1067,37,1024,1061,44,1024,1068
447,447,32,1024,1056,34,1024,1058,37,1024,1061
448,448,32,1024,1056,34,1024,1058,37,1024,1061
449,449,31,1024,1055,32,1024,1056,36,1024,1060
450,450,28,1024,1052,24,1024,1048,34,1024,1058
451,451,28,1024,1052,24,1024,1048,34,1024,1058
452,452,21,1024,1045,20,1024,1044,32,1024,1056
453,453,21,1024,1045,20,1024,1044,32,1024,1056
454,454,21,1024,1045,20,1024,1044,32,1024,1056
455,455,16,1024,1040,17,1024,1041,30,1024,1054
456,456,16,1024,1040,17,1024,1041,30,1024,1054
457,457,14,1024,1038,14,1024,1038,21,1024,1045
458,458,12,1024,1036,14,1024,1038,21,1024,1045
459,459,12,1024,1036,14,1024,1038,21,1024,1045
460,460,8,1024,1032,10,1024,1034,18,1024,1042
461,461,8,1024,1032,10,1024,1034,18,1024,1042
462,462,8,1024,1032,8,1024,1032,11,1024,1035
463,463,8,1024,1032,8,1024,1032,10,1024,1034
464,464,8,1024,1032,8,1024,1032,10,1024,1034
465,465,6,1024,1030,7,1024,1031,7,1024,1031
466,466,6,1024,1030,7,1023,1030,7,1024,1031
467,467,6,1024,1030,7,1023,1030,7,1024,1031
468,468,6,1024,1030,7,1023,1030,7,1024,1031
469,469,6,1024,1030,7,1023,1030,7,1024,1031
470,470,4,1024,1028,6,1023,1029,4,1024,1028
471,471,4,1024,1028,6,1023,1029,4,1024,1028
472,472,4,1024,1028,4,1023,1027,3,1024,1027
473,473,4,1024,1028,4,1023,1027,3,1024,1027
474,474,4,1024,1028,4,1023,1027,3,1024,1027
475,475,4,1024,1028,4,1023,1027,3,1024,1027
476,476,3,1024,1027,4,1023,1027,3,1024,1027
477,477,2,1024,1026,4,1023,1027,2,1024,1026
478,478,2,1024,1026,4,1023,1027,2,1024,1026
479,479,2,1024,1026,4,1023,1027,2,1024,1026
480,480,2,1024,1026,4,1023,1027,2,1024,1026
481,481,2,1024,1026,4,1023,1027,2,1024,1026
482,482,2,1024,1026,4,1022,1026,2,1024,1026
483,483,1,1024,1025,4,1022,1026,2,1024,1026
484,484,1,1024,1025,3,1022,1025,2,1024,1026
485,485,1,1024,1025,2,1022,1024,2,1024,1026
486,486,1,1024,1025,2,1022,1024,2,1024,1026
487,487,0,1024,1024,2,1022,1024,1,1024,1025
488,488,0,1024,1024,2,1022,1024,1,1024,1025
489,489,0,1024,1024,2,1022,1024,1,1024,1025
490,490,0,1024,1024,2,1022,1024,1,1024,1025
491,491,0,1024,1024,2,1022,1024,1,1024,1025
492,492,0,1024,1024,2,1022,1024,1,1024,1025
493,493,0,1024,1024,2,1022,1024,1,1024,1025
494,494,0,1024,1024,2,1022,1024,1,1024,1025
495,495,0,1024,1024,1,1022,1023,1,1024,1025
496,496,0,1024,1024,1,1022,1023,1,1024,1025
497,497,0,1024,1024,1,1022,1023,1,1024,1025
498,498,0,1024,1024,1,1021,1022,1,1024,1025
499,499,0,1024,1024,1,1021,1022,1,1024,1025
500,500,0,1024,1024,1,1021,1022,0,1024,1024
501,501,0,1024,1024,1,1021,1022,0,1024,1024
502,502,0,1024,1024,1,1021,1022,0,1023,1023
503,503,0,1024,1024,1,1021,1022,0,1023,1023
504,504,0,1024,1024,1,1021,1022,0,1023,1023
505,505,0,1024,1024,1,1021,1022,0,1023,1023
506,506,0,1024,1024,1,1021,1022,0,1023,1023
507,507,0,1024,1024,0,1021,1021,0,1023,1023
508,508,0,1024,1024,0,1021,1021,0,1023,1023
509,509,0,1024,1024,0,1021,1021,0,1023,1023
510,510,0,1024,1024,0,1021,1021,0,1023,1023
511,511,0,1024,1024,0,1021,1021,0,1023,1023
512,512,0,1024,1024,0,1021,1021,0,1023,1023
513,513,0,1024,1024,0,1021,1021,0,1023,1023
514,514,0,1023,1023,0,1021,1021,0,1023,1023
515,515,0,1023,1023,0,1021,1021,0,1023,1023
516,516,0,1023,1023,0,1021,1021,0,1023,1023
517,517,0,1023,1023,0,1021,1021,0,1023,1023
518,518,0,1022,1022,0,1020,1020,0,1022,1022
519,519,0,1022,1022,0,1020,1020,0,1022,1022
520,520,0,1022,1022,0,1020,1020,0,1022,1022
521,521,0,1022,1022,0,1020,1020,0,1022,1022
522,522,0,1022,1022,0,1020,1020,0,1022,1022
523,523,0,1022,1022,0,1020,1020,0,1022,1022
524,524,0,1022,1022,0,1020,1020,0,1022,1022
525,525,0,1022,1022,0,1020,1020,0,1022,1022
526,526,0,1022,1022,0,1020,1020,0,1021,1021
527,527,0,1022,1022,0,1020,1020,0,1021,1021
528,528,0,1022,1022,0,1020,1020,0,1021,1021
529,529,0,1022,1022,0,1020,1020,0,1021,1021
530,530,0,1021,1021,0,1020,1020,0,1019,1019
531,531,0,1021,1021,0,1020,1020,0,1019,1019
532,532,0,1021,1021,0,1020,1020,0,1019,1019
533,533,0,1021,1021,0,1019,1019,0,1019,1019
534,534,0,1020,1020,0,1019,1019,0,1019,1019
535,535,0,1020,1020,0,1019,1019,0,1019,1019
536,536,0,1020,1020,0,1019,1019,0,1019,1019
537,537,0,1020,1020,0,1019,1019,0,1019,1019
538,538,0,1020,1020,0,1019,1019,0,1018,1018
539,539,0,1020,1020,0,1019,1019,0,1018,1018
540,540,0,1020,1020,0,1019,1019,0,1018,1018
541,541,0,1020,1020,0,1019,1019,0,1018,1018
542,542,0,1018,1018,0,1019,1019,0,1017,1017
543,543,0,1018,1018,0,1019,1019,0,1017,1017
544,544,0,1018,1018,0,1019,1019,0,1017,1017
545,545,0,1018,1018,0,1019,1019,0,1017,1017
546,546,0,1017,1017,0,1019,1019,0,1017,1017
547,547,0,1017,1017,0,1019,1019,0,1017,1017
548,548,0,1017,1017,0,1019,1019,0,1017,1017
549,549,0,1017,1017,0,1019,1019,0,1017,1017
550,550,0,1017,1017,0,1019,1019,0,1016,1016
